SiteID	Y	M	D	Type	Value
1	2014	1	7	NH3	0.967
2	2014	1	7	NH3	4.168
3	2014	1	7	NH3	43.6
4	2014	1	7	NH3	46.74
5	2014	1	7	NH3	49.4
6	2014	1	7	NH3	42.16
13	2014	1	7	NH3	0.365
7	2014	1	7	NH3	1.116
9	2014	1	7	NH3	1.352
8	2014	1	7	NH3	2.15
12	2014	1	7	NH3	2.56
1	2014	8	27	NH3	2.26275
1	2014	8	28	NH3	0.842
1	2014	8	29	NH3	0.577
1	2014	8	30	NH3	0.794
1	2014	8	31	NH3	1.0272
1	2014	9	1	NH3	1.185
1	2014	9	2	NH3	1.394
1	2014	9	3	NH3	1.246333333
1	2014	9	4	NH3	1.01
1	2014	3	15	NH3	2.71
2	2014	3	15	NH3	11.75
3	2014	3	15	NH3	34.02
4	2014	3	15	NH3	42.8
5	2014	3	15	NH3	41.68
6	2014	3	15	NH3	11.85
13	2014	3	15	NH3	0.22
7	2014	3	15	NH3	2.35
8	2014	3	15	NH3	0.67
9	2014	3	15	NH3	2.66
10	2014	3	15	NH3	0.3
11	2014	3	15	NH3	40.23
12	2014	3	15	NH3	11.85
1	2014	5	14	NH3	5.058
2	2014	5	14	NH3	0.919
3	2014	5	14	NH3	16.94
4	2014	5	14	NH3	33.31
5	2014	5	14	NH3	38.91
6	2014	5	14	NH3	36.4
7	2014	5	14	NH3	1.27
8	2014	5	14	NH3	0.904
9	2014	5	14	NH3	0.654
10	2014	5	14	NH3	0.856
11	2014	5	14	NH3	40.27
12	2014	5	14	NH3	2.647
13	2014	5	14	NH3	0.101
1	2014	7	1	NH3	0.394
2	2014	7	1	NH3	0.293
3	2014	7	1	NH3	4.755
4	2014	7	1	NH3	5.429
5	2014	7	1	NH3	6.507
6	2014	7	1	NH3	2.406
7	2014	7	1	NH3	0.36
8	2014	7	1	NH3	0.052
9	2014	7	1	NH3	0.062
10	2014	7	1	NH3	0.043
11	2014	7	1	NH3	2.406
12	2014	7	1	NH3	0.293
13	2014	7	1	NH3	0.028
1	2014	10	10	NH3	1.1 
2	2014	10	10	NH3	12.8 
3	2014	10	10	NH3	13.2 
4	2014	10	10	NH3	12.2 
6	2014	10	10	NH3	14.2 
7	2014	10	10	NH3	1.0 
8	2014	10	10	NH3	0.6 
9	2014	10	10	NH3	0.7 
10	2014	10	10	NH3	1.1 
11	2014	10	10	NH3	12.8 
12	2014	10	10	NH3	2.6 
13	2014	10	10	NH3	0.4 
1	2014	11	28	NH3	0.6 
2	2014	11	28	NH3	0.3 
3	2014	11	28	NH3	3.3 
4	2014	11	28	NH3	10.2 
6	2014	11	28	NH3	4.5 
7	2014	11	28	NH3	3.3 
8	2014	11	28	NH3	1.6 
9	2014	11	28	NH3	1.5 
10	2014	11	28	NH3	1.6 
11	2014	11	28	NH3	2.5 
12	2014	11	28	NH3	1.7 
13	2014	11	28	NH3	0.3 
